class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
e,5.48,x,t,n,f,p,,n,7.01,13.06,,,e,,,f,f,,d,a
p,3.01,s,s,w,f,d,c,w,2.91,7.25,,,w,,,f,f,,g,a
e,6.34,x,l,w,f,d,,p,3.32,9.06,,,w,,,f,f,,g,u
e,5.67,x,h,n,f,x,c,n,6.76,6.21,,s,n,,,t,r,,d,u
e,12.17,f,s,n,t,e,,n,10.13,17.45,s,,w,,,t,r,,m,a
p,2.9,f,k,n,f,s,,p,3.73,2.5,,,n,,,f,f,p,g,a
p,9.88,f,h,r,f,,c,w,11.25,14.49,,,w,u,w,t,p,,d,u
p,4.95,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.24,x,s,y,f,,c,k,9.1,8.5,,,y,u,w,t,z,r,d,u
p,8.94,x,e,n,t,p,,y,7.91,24.55,c,,y,,,f,f,,d,u
p,5.27,b,h,n,f,,,k,11.7,7.05,,,w,,,t,,k,g,u
e,5.6,f,h,k,f,s,d,g,4.07,9.29,,s,g,,,f,f,,d,u
p,8.72,o,t,n,f,,c,o,1.63,14.11,,,n,,,f,f,,d,a
p,5.87,x,,e,f,,c,w,3.18,12.04,,,y,,,f,f,,d,a
e,7.55,f,s,u,f,a,c,w,4.59,14.51,,,w,,,f,f,,d,u
p,1.22,s,s,y,f,f,f,f,3.33,5.62,,,y,,,f,f,,d,a
e,43.6,o,y,y,f,p,,y,4.7,18.75,,k,n,,,f,f,,d,s
e,6.8,f,h,o,f,s,,n,8.87,12.29,,i,o,,,f,f,,d,a
e,4.08,x,,w,f,x,c,w,7.54,8.75,b,,w,,w,t,,,d,s
p,9.85,x,h,r,f,,c,w,11.47,16.62,,,w,u,w,t,g,,d,a
p,8.45,o,,e,f,f,f,f,3.08,22.66,,g,n,,,f,f,,d,s
p,14.83,x,k,w,t,d,d,n,5.62,28.2,,,w,,,f,f,,d,a
p,11.64,x,t,n,f,a,d,w,8.09,30.57,,,w,,,f,f,,d,u
e,9.01,f,e,b,f,,c,b,5.13,19.25,,,w,,,t,f,,d,a
e,3.04,s,,y,f,f,f,f,6.27,7.37,,,y,,,f,f,,d,a
p,1.82,b,g,n,f,,c,n,4.99,2.95,,,n,,,f,f,,d,s
p,14.96,s,d,n,f,d,c,y,5.61,34.46,,k,n,,,f,f,,d,u
e,8.91,x,d,y,t,p,,y,6.41,13.43,,,e,,,f,f,,d,u
p,9.59,s,t,k,t,d,c,b,4.56,24.12,,,g,,,f,f,,g,a
e,13.72,x,e,l,f,x,c,w,9.04,26.47,,,w,,,f,f,,d,u
e,5.47,b,h,k,f,s,d,w,4.2,8.98,,s,g,,,f,f,,d,u
p,4.41,b,t,n,f,x,c,p,6.17,4.72,,i,g,,,f,f,,d,a
e,8.3,x,,g,f,s,c,p,7.13,16.75,b,,u,,,f,f,,g,a
e,0.92,p,g,w,f,,,g,2.62,1.13,,,w,,,f,f,,d,w
p,5.73,c,e,w,t,x,c,r,6.22,12.75,,,w,,,f,f,,g,a
p,4.61,s,,e,t,d,c,p,3.7,4.77,,,e,,,f,f,,d,u
p,5.56,b,s,n,f,,,w,9.35,11.39,,s,w,,,t,z,,d,u
p,19.54,s,k,w,t,d,d,n,6.67,29.06,,,w,,,f,f,,d,w
p,3.45,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,w
p,8.03,s,t,g,t,d,,w,4.48,12.99,,t,n,,,f,f,,d,u
p,5.27,x,,w,f,,c,w,3.59,12.85,,,y,,,f,f,,d,a
e,8.84,x,t,n,f,p,d,y,7.26,13.04,,s,n,,,f,f,,d,u
e,10.67,f,e,b,f,,c,b,4.92,21.86,,,w,,,t,f,,d,a
p,22.15,f,s,k,f,p,,y,6.15,42.2,,,n,,,f,f,,d,a
p,5.88,s,,n,t,d,c,b,5.2,5.84,,,e,,,f,f,,d,u
e,5.33,f,y,n,f,s,,g,4.64,7.68,,,w,,,f,f,,d,u
p,2.36,f,,u,f,a,c,n,2.89,3.42,,i,u,,,f,f,,p,u
e,11.65,s,,w,t,d,c,p,4.92,21.89,,,w,,,f,f,,d,u
e,8.64,p,,n,f,a,,w,6.92,12.7,,,g,,,f,f,,g,a
p,1.88,p,t,n,f,a,c,g,7.42,2.6,,t,y,,,t,e,,m,a
p,0.53,f,,o,f,d,,o,3.99,0.95,,,y,,,f,f,w,g,a
p,15.02,s,k,w,t,d,d,n,7.68,30.27,,,w,,,f,f,,d,u
p,7.79,x,y,y,f,a,c,y,8.2,9.71,,y,y,,,t,,,d,a
p,6.84,x,e,e,f,a,,g,8.18,10.08,,,y,,w,t,z,,d,a
p,2.45,b,,g,f,a,,k,7.31,2.15,,,n,,w,f,f,k,g,u
e,7.37,x,d,n,t,p,,y,10.15,18.37,,,y,,,f,f,,d,a
p,4.8,c,e,w,t,x,c,y,7.21,12.89,,,w,,,f,f,,g,s
e,5.62,x,y,n,f,e,c,w,6.7,10.75,,y,n,,,f,f,,d,a
p,3.89,f,d,n,f,x,c,y,4.46,3.28,b,s,n,,,f,f,,l,u
p,5.99,x,,y,f,s,d,y,5.67,13.53,,i,y,,,f,f,,d,a
p,7.1,b,t,w,f,e,c,w,12.52,11.99,,y,w,u,w,t,l,,d,u
e,13.8,x,t,n,f,p,,w,17.93,70.21,,,n,,,f,f,,d,u
p,3.03,f,,u,f,a,c,n,3.3,3.41,,i,w,,,f,f,,p,u
p,8.04,x,i,n,f,a,,n,9.08,12.92,s,,n,,n,f,f,,h,a
p,2.59,x,d,w,f,a,d,w,2.9,2.43,,h,w,,,f,f,,g,a
p,10.67,s,t,n,t,d,c,n,5.64,12.61,,,n,,,f,f,,d,u
e,4.0,x,,w,f,x,c,n,8.1,8.57,b,,n,,w,t,,,d,a
p,16.3,f,h,e,f,e,,w,18.25,16.66,s,y,w,u,w,t,p,,d,w
p,7.15,x,y,w,t,,,g,7.87,13.17,s,,w,,,t,l,,g,u
p,1.98,b,g,w,f,,c,n,6.39,3.07,,,n,,,f,f,,d,s
p,0.76,f,,o,f,d,,o,4.52,1.03,,,o,,,f,f,w,g,a
p,3.8,x,t,n,f,s,c,n,4.3,7.71,,,w,,n,t,z,,d,a
e,11.38,s,,w,t,d,c,w,4.86,23.56,,,w,,,f,f,,d,u
e,5.01,s,,n,f,d,c,w,4.97,8.27,,s,w,,,f,f,,h,a
e,9.05,s,s,y,f,x,,n,6.74,20.13,,,w,,,f,f,,d,a
e,1.57,f,w,n,f,,d,g,4.82,2.48,,,w,,,f,f,,g,u
p,3.8,f,t,n,f,x,c,p,5.99,4.7,,i,n,,,f,f,,g,u
e,6.55,s,s,o,f,d,d,b,5.99,13.01,,,w,,,f,f,,g,w
e,10.75,p,s,w,t,e,,g,8.6,18.05,s,,w,,,t,r,,m,a
p,4.6,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
e,5.12,s,,n,f,d,c,w,5.05,7.35,,s,w,,,f,f,,d,u
e,4.32,x,s,o,f,p,,n,4.74,11.82,,,n,,,f,f,,d,u
p,1.39,x,,n,f,,,k,4.82,2.34,,s,n,,,f,f,k,g,a
p,10.85,f,y,y,f,s,c,y,8.35,22.19,,y,e,,,f,f,,d,a
p,3.8,x,t,n,f,s,c,n,6.12,9.34,,,w,,n,t,z,,d,u
p,3.19,f,s,g,f,d,c,w,2.68,6.37,,,w,,,f,f,,g,u
p,3.0,b,,k,f,a,,k,9.69,2.45,,,n,,w,f,f,k,g,u
e,3.47,s,,y,f,f,f,f,6.52,6.7,,,o,,,f,f,,d,a
e,7.43,s,,y,f,a,c,w,6.5,14.92,,,w,,,f,f,,d,u
e,15.34,s,t,k,f,a,d,k,6.41,23.86,,,w,,,f,f,w,d,u
e,54.1,o,y,y,f,p,,y,8.79,42.3,,k,k,,,f,f,,d,u
p,7.85,s,d,e,t,d,c,n,7.69,10.24,,,n,,,f,f,,d,a
p,7.26,x,w,n,f,x,,w,13.12,7.84,r,g,n,,,f,f,,d,u
p,3.14,x,t,n,f,s,c,p,5.81,8.67,,,w,,n,t,z,,d,a
e,8.5,x,s,n,f,e,c,w,6.63,10.1,,i,w,,,f,f,p,d,a
p,1.18,s,s,y,f,f,f,f,3.39,5.6,,,y,,,f,f,,d,u
e,6.95,b,h,k,f,s,d,g,5.14,10.18,,s,g,,,f,f,,d,a
e,4.0,x,,n,f,x,c,w,7.72,8.98,b,,n,,w,t,,,g,a
p,4.74,s,d,y,f,d,c,y,3.16,6.24,,,o,,,f,f,,d,u
p,4.16,f,y,w,f,e,c,w,4.85,3.46,,k,w,,,t,e,,d,a
p,15.99,s,s,n,f,d,c,y,6.38,35.33,,k,n,,,f,f,,d,a
p,3.96,x,t,o,f,a,c,n,4.45,5.94,,y,o,,,t,z,,d,a
p,9.06,x,w,p,f,s,c,p,5.86,11.43,,,p,,,f,f,,d,a
e,2.3,s,y,n,f,a,d,p,4.11,3.01,,i,n,,,f,f,,l,a
e,8.93,p,s,w,f,e,c,p,17.97,12.13,,s,w,,,t,e,,g,u
e,1.77,x,s,n,f,a,,w,6.88,2.97,,t,y,,,f,f,,h,a
p,2.57,x,g,n,f,a,,p,5.98,2.44,,,n,,,f,f,,d,a
p,1.93,f,h,n,f,,,n,8.2,2.64,,,y,,,f,f,,g,u
e,21.91,x,s,n,f,a,d,y,7.98,25.92,,,w,,,f,f,w,d,a
p,4.34,b,y,n,f,,c,g,6.9,4.68,s,s,w,,,f,f,,d,u
p,3.24,x,i,e,f,,,e,4.65,4.53,,,e,,,f,f,n,d,a
p,2.8,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,7.03,f,,y,f,x,c,n,6.08,10.66,,,w,,,f,f,,d,u
p,5.43,c,i,y,f,,c,r,6.09,6.56,,,w,,,f,f,,d,u
e,1.73,x,,b,f,,d,w,6.47,4.49,,,w,,,f,f,,d,u
p,3.18,b,s,y,f,,c,y,7.35,7.86,,,y,u,w,t,z,r,d,w
p,3.13,s,d,w,f,a,d,w,3.79,2.52,,h,w,,,f,f,,g,u
p,2.03,x,g,n,f,a,,p,3.88,2.08,,,w,,,f,f,,d,a
e,3.69,b,g,w,f,x,d,w,4.56,2.46,,,y,,,f,f,,g,u
e,5.55,s,l,n,f,f,f,f,6.56,34.89,,,n,,,f,f,g,d,a
e,1.45,x,s,n,f,d,,w,6.11,1.73,,t,y,,,f,f,,h,u
e,9.77,x,h,n,t,p,,y,7.9,18.03,,,n,,w,t,p,,d,u
p,8.97,s,t,p,t,d,c,p,8.33,14.28,,,p,,,t,f,,d,a
e,17.21,s,t,w,f,a,d,y,8.15,24.68,,,w,,,f,f,w,d,u
e,10.72,x,,n,t,,,w,12.14,17.75,b,,w,u,w,t,g,,d,u
p,7.89,s,,y,t,d,,o,3.98,11.87,,,w,,,t,f,,d,u
e,7.08,f,h,k,f,s,d,g,5.16,10.0,,s,g,,,f,f,,d,a
p,8.78,s,,r,t,d,,o,4.77,13.53,,,w,,,t,f,,d,a
p,1.52,x,,n,f,,,n,5.12,2.66,,s,n,,,f,f,k,g,u
p,1.78,x,g,n,f,d,d,n,2.38,2.47,,s,n,,,f,f,,h,u
p,0.94,b,t,y,f,,c,g,3.17,2.29,,,n,,,t,f,,m,a
p,8.86,x,e,n,f,a,,n,10.17,14.49,s,,n,,e,f,f,,d,a
p,2.98,s,s,w,f,d,c,w,2.96,7.61,,,w,,,f,f,,g,u
e,4.43,x,,r,f,d,,r,6.59,7.18,,,l,,,f,f,,l,a
e,7.68,x,s,o,f,d,d,b,7.62,13.81,,,w,,,f,f,,m,w
e,5.86,x,s,o,f,d,d,b,5.95,12.27,,,w,,,f,f,,g,a
p,3.34,f,d,b,f,x,c,w,5.37,3.32,b,i,n,,,f,f,,l,u
p,3.44,b,y,n,f,,c,w,5.34,4.44,s,s,w,,,f,f,,d,a
p,1.55,x,k,n,f,,,n,3.79,1.65,,,n,,,f,f,,d,s
p,7.78,x,s,n,f,s,,g,5.14,6.32,,y,n,,,f,f,,d,w
e,12.22,x,e,g,f,d,c,w,5.97,23.43,s,,w,,,f,f,,d,w
e,1.43,x,g,y,f,a,,w,5.99,1.77,,t,y,,,f,f,,d,u
p,2.57,p,t,n,f,a,c,g,7.73,2.62,,t,y,,,t,e,,m,s
p,2.27,x,y,o,f,a,,o,2.91,4.99,,,o,,,f,f,,h,a
p,0.82,x,g,w,f,a,d,w,2.77,1.45,,,n,,,f,f,,d,a
p,9.67,x,,g,t,x,,u,9.8,21.09,s,,u,,u,f,f,,d,a
p,3.17,x,d,w,f,d,d,p,4.0,2.7,,h,w,,,f,f,,g,a
p,5.32,c,e,w,t,x,c,r,8.15,13.15,,,w,,,f,f,,d,a
e,5.08,x,h,n,f,x,c,w,4.21,4.86,,y,n,,,t,r,,d,s
e,7.88,f,s,w,f,s,c,w,6.61,26.45,,,w,,,f,f,,d,s
e,3.07,b,y,n,f,,c,n,5.61,2.45,,,w,,,f,f,,d,s
p,0.87,b,t,y,f,,c,k,3.62,2.4,,,n,,,t,f,,m,u
p,5.83,b,d,n,f,a,c,n,4.91,5.64,,i,y,,,t,,,d,a
e,4.2,s,,y,f,f,f,f,6.01,6.86,,,y,,,f,f,,d,a
e,10.72,s,s,u,f,x,,n,6.67,21.25,,,p,,,f,f,,d,a
p,9.3,x,,n,t,x,,u,8.66,18.94,s,,n,,u,f,f,,d,a
e,9.14,p,y,w,f,e,c,p,20.49,13.44,,s,w,,,t,e,,d,a
p,2.93,s,s,g,f,d,c,w,2.68,6.47,,,w,,,f,f,,g,u
p,1.04,x,g,w,f,a,d,w,2.72,1.39,,,e,,,f,f,,d,a
p,2.87,c,,w,f,a,c,n,3.65,3.45,,i,w,,,f,f,,p,a
e,7.14,x,,y,f,e,,w,6.1,12.92,b,,w,u,w,t,g,,d,u
p,5.76,x,h,o,f,a,c,y,6.98,9.25,,g,o,,,f,f,,g,a
e,6.87,s,l,w,f,d,,w,3.32,8.29,,,w,,,f,f,,g,u
p,6.21,x,d,e,t,d,c,w,7.7,9.65,,,e,,,f,f,,d,a
e,9.09,f,s,w,f,s,c,w,7.1,29.98,,,w,,,f,f,,m,s
e,53.37,o,y,y,f,p,,y,6.0,37.88,,k,n,,,f,f,,d,s
e,5.95,f,s,n,f,s,c,w,5.89,9.52,b,i,n,,,f,f,,l,a
e,6.66,x,y,w,f,e,c,p,5.82,12.87,,,w,,w,t,e,,g,u
e,5.13,x,t,o,f,a,d,y,7.38,6.02,,k,n,,,f,f,,d,a
e,13.82,f,,b,f,d,c,y,2.74,16.14,,,w,,,f,f,,d,w
e,5.21,x,d,y,t,p,,y,5.55,12.16,,,y,,,f,f,,d,a
p,8.13,x,s,r,t,s,d,r,4.91,16.07,r,y,w,,,f,f,,d,a
p,8.46,x,g,n,f,e,,w,8.85,17.91,,y,w,u,w,t,p,,d,u
e,5.44,f,y,n,f,s,,y,4.26,7.71,,,w,,,f,f,,d,u
p,7.69,x,t,n,f,s,,n,6.1,8.33,,y,n,,,f,f,,d,w
p,6.14,f,h,r,f,,c,w,11.24,15.53,,,w,u,w,t,g,,d,a
e,8.59,x,d,w,f,s,c,w,8.26,34.92,,,w,,,f,f,,m,s
p,6.09,x,e,e,f,a,,n,6.26,8.62,,,y,,w,t,z,,d,a
e,8.04,s,t,p,t,d,c,o,6.0,17.52,,,w,,,f,f,,d,u
e,7.48,f,s,n,f,s,c,w,6.07,10.48,b,i,n,,,f,f,,m,u
e,12.06,f,,g,f,d,c,y,2.55,15.06,,,w,,,f,f,,d,a
p,5.61,x,s,k,f,e,,y,8.32,8.78,,,k,,,f,f,,m,a
p,0.63,x,g,y,f,,,y,3.37,0.61,,,y,,,f,f,,d,a
p,2.33,x,i,e,f,,,e,3.61,4.97,,,e,,,f,f,n,d,a
e,9.57,x,t,n,t,p,,y,6.17,17.21,,,n,,w,t,p,,d,a
p,12.98,s,t,r,t,d,c,n,6.31,16.48,,,n,,,f,f,,h,u
p,7.68,x,y,w,t,,,p,7.86,12.7,s,,w,,,t,l,,g,u
e,7.19,f,s,n,f,s,c,w,5.45,9.51,b,i,n,,,f,f,,l,u
p,7.14,s,h,r,t,d,,w,4.25,11.47,,t,n,,,f,f,,d,u
e,9.98,x,e,l,f,x,c,w,7.31,21.64,,,w,,,f,f,,d,a
e,11.06,p,i,n,t,e,,p,9.25,18.69,,y,w,,,t,l,,l,a
e,11.26,s,t,o,t,d,c,o,5.27,16.98,,,w,,,f,f,,d,u
p,0.72,x,g,o,f,,,y,3.47,0.73,,,y,,,f,f,,d,u
e,1.54,c,g,n,f,a,,w,4.46,1.34,,,g,,,f,f,,l,u
e,12.47,f,s,u,f,x,,n,7.4,20.87,,,p,,,f,f,,d,a
p,2.57,o,,k,f,f,f,f,2.8,13.63,,g,n,,,f,f,,d,u
e,11.26,x,e,n,f,d,c,w,4.77,19.31,s,,w,,,f,f,,d,w
p,1.74,f,i,k,f,a,,w,3.62,2.45,,,w,,,f,f,p,g,a
e,8.82,f,d,w,f,s,c,w,6.91,28.69,,,w,,,f,f,,d,u
e,6.84,x,t,y,f,p,,y,6.4,13.58,,,y,,y,t,,,d,u
e,4.94,x,,y,f,a,c,y,4.78,10.78,,,w,,,f,f,,d,u
p,11.76,x,h,n,t,p,,y,8.28,25.36,c,,y,,,f,f,,d,u
p,6.49,f,,y,f,x,c,y,6.56,8.68,,,w,,,f,f,,d,u
e,4.81,b,h,g,f,s,d,w,4.59,9.96,,s,g,,,f,f,,d,a
p,3.5,x,,n,f,x,c,p,7.73,4.08,,,p,,,f,f,,l,u
e,4.61,x,,y,f,a,c,y,5.16,9.69,,,w,,,f,f,,d,u
p,9.19,b,t,w,f,e,c,w,13.75,13.72,,y,w,u,w,t,e,,d,a
e,3.31,x,d,n,f,p,,y,4.68,10.74,,,n,,,f,f,,d,a
p,8.19,s,t,n,f,x,c,y,4.67,14.34,,,y,,,f,f,,d,a
e,7.13,x,t,y,f,p,,y,7.88,15.69,,,y,,y,t,,,d,a
e,15.31,x,e,n,f,a,c,w,7.18,26.16,s,,w,,,f,f,,d,a
p,3.42,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.8,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s
p,2.97,b,,g,f,a,,n,8.78,2.5,,,n,,w,f,f,k,g,u
e,6.41,x,,w,f,e,,w,5.57,11.69,b,,y,u,y,t,g,,d,u
e,4.28,b,g,g,f,a,d,g,5.49,3.23,,s,g,,,f,f,,d,u
e,6.88,s,,g,f,s,c,g,5.84,17.64,b,,u,,,f,f,,d,w
p,3.89,b,t,n,f,x,c,p,6.8,4.86,,i,g,,,f,f,,m,a
p,13.88,x,h,g,f,s,,p,8.22,17.81,,i,n,,,f,f,,d,a
e,4.57,x,t,n,f,e,,w,10.96,10.43,,s,n,u,w,f,f,,d,u
p,2.87,f,d,n,f,x,c,w,4.23,2.98,b,s,n,,,f,f,,d,a
e,0.89,x,g,n,t,a,,w,5.13,0.87,,,n,,,f,f,,h,u
e,1.19,c,g,n,f,a,,w,4.47,1.22,,,g,,,f,f,,l,a
p,8.64,f,,n,f,x,c,w,10.2,10.53,r,i,w,,,f,f,,h,a
p,1.49,x,g,y,f,d,d,n,1.94,2.52,,s,n,,,f,f,,d,u
e,4.36,x,t,n,f,p,,n,5.41,11.23,,,n,,,f,f,,d,a
e,5.82,x,y,n,f,e,c,w,4.53,10.24,,y,n,,,f,f,,d,a
e,9.37,x,s,n,f,e,c,p,5.78,9.81,,i,n,,,f,f,p,d,u
e,1.33,c,g,n,f,a,,g,5.1,1.4,,,g,,,f,f,,d,a
e,10.44,p,s,w,f,e,c,w,18.71,12.18,,s,w,,,t,e,,u,w
p,13.74,s,k,w,t,d,d,w,6.0,25.04,,,w,,,f,f,,d,w
p,1.59,b,,g,f,a,,g,4.87,1.85,,s,g,,,f,f,,d,u
p,7.91,f,h,e,f,x,d,w,5.93,17.12,b,,w,,,f,f,,d,a
e,4.81,x,t,n,f,p,,n,5.75,10.78,,,e,,,f,f,,d,a
e,15.64,x,e,n,f,d,c,w,11.43,27.25,s,,w,,,f,f,,l,w
p,8.15,f,y,u,f,s,c,y,7.37,19.82,,y,e,,,f,f,,d,a
p,8.18,f,y,y,f,s,c,y,7.52,17.94,,y,u,,,f,f,,d,a
p,7.47,f,t,n,f,x,c,y,6.2,16.17,,,y,,,f,f,,d,a
p,6.27,p,g,n,f,e,,w,8.18,13.41,,y,w,u,w,t,p,,d,a
e,4.03,x,,n,f,x,c,w,8.08,8.48,b,,n,,w,t,,,d,a
e,9.15,p,s,w,f,e,c,k,18.51,12.88,,s,w,,,t,e,,u,s
e,6.0,x,t,n,f,e,,w,11.98,10.51,,s,n,u,w,f,f,,d,u
p,8.39,b,t,w,f,e,c,w,12.92,13.37,,y,w,u,w,t,l,,d,a
p,6.66,f,w,p,f,s,c,p,4.08,9.8,,,p,,,f,f,,d,w
p,5.96,x,,p,f,,c,g,3.88,12.23,,,y,,,f,f,,d,a
e,7.83,x,t,y,f,p,,y,7.83,13.5,,,y,,y,t,,,d,u
e,9.2,f,y,e,f,,,w,6.09,24.91,b,,n,,w,t,e,,d,a
e,11.21,x,h,n,t,p,,y,9.02,22.84,,,n,,,f,f,,d,u
p,10.99,x,,n,f,p,,p,11.21,32.9,c,,n,,,f,f,w,d,u
e,7.77,f,d,o,f,d,d,o,6.48,12.64,,,w,,,f,f,,d,w
e,11.03,s,,w,t,d,c,p,6.67,26.48,,,w,,,f,f,,d,u
p,6.62,x,,g,f,d,c,y,6.34,10.52,b,,n,,,f,f,,d,a
e,9.09,x,s,n,f,e,c,p,6.3,9.42,,i,n,,,f,f,p,d,s
e,0.98,c,g,n,t,a,,w,5.71,1.03,,,n,,,f,f,,h,a
p,5.35,f,k,y,f,p,,n,3.65,5.92,,k,n,,,t,f,,d,u
e,50.03,o,y,y,f,p,,y,6.19,25.54,,k,k,,,f,f,,d,s
e,4.58,b,g,n,f,a,d,g,6.26,3.3,,s,g,,,f,f,,d,w
p,3.7,b,y,n,f,,c,g,5.43,4.3,s,s,w,,,f,f,,d,a
p,4.76,f,l,y,f,x,d,e,6.97,5.63,,,n,,,f,f,,d,u
p,6.11,x,e,e,f,a,,w,8.46,9.88,,,y,,w,t,z,,d,a
e,1.6,x,s,n,f,a,,w,6.65,2.65,,t,y,,,f,f,,h,u
p,2.95,f,,w,f,a,c,n,4.15,3.81,,i,w,,,f,f,,p,a
p,11.9,f,d,n,f,d,c,y,5.63,32.1,,k,k,,,f,f,,d,a
e,3.49,f,h,n,f,,c,n,7.17,7.48,,s,w,,w,f,f,k,d,a
p,0.94,x,g,w,f,a,d,w,2.18,1.17,,,n,,,f,f,,d,a
p,4.51,x,t,l,f,s,c,u,6.85,7.95,,y,w,,,t,e,u,m,u
p,3.35,x,k,w,f,s,,p,4.13,2.84,,,n,,,f,f,p,g,a
p,3.25,o,,g,f,f,f,f,3.38,15.2,,g,n,,,f,f,,d,a
e,7.31,x,y,n,f,e,c,w,6.77,11.01,,y,n,,,f,f,,d,a
p,10.29,x,,w,f,x,c,w,10.85,12.67,r,i,w,,,f,f,,h,u
e,6.65,p,,g,f,a,,w,6.91,12.41,,,g,,,f,f,,g,a
p,3.15,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,12.16,x,h,e,f,e,,w,17.46,17.51,s,y,w,u,w,t,g,,d,u
p,7.17,x,s,r,t,s,d,w,6.99,16.1,r,i,n,,,f,f,,d,u
p,1.5,x,i,l,f,a,,p,2.21,2.24,,,w,,,f,f,p,g,a
p,4.06,x,i,e,f,,,e,4.07,5.73,,,e,,,f,f,n,d,a
p,0.66,x,,o,f,d,,o,4.86,0.96,,,y,,,f,f,w,g,u
p,2.76,o,,g,f,f,f,f,3.16,13.59,,g,n,,,f,f,,d,a
p,3.25,x,s,w,f,d,c,w,3.2,8.56,,,w,,,f,f,,g,u
e,8.39,f,,u,f,s,c,b,6.2,18.68,,,u,,,f,f,,d,a
p,3.45,x,t,n,f,s,c,p,4.93,7.42,,,w,,n,t,z,,d,a
